Racial/Ethnic_Group,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
ASIAN,0.274,0.278,0.283,0.302,0.313,0.333,0.357,0.718,0.386,0.425
BLACK,0.448,0.465,0.41,0.444,0.436,0.504,0.42,0.394,0.419,0.401
HISPANIC,0.584,0.654,0.604,0.753,0.582,0.592,0.595,0.702,0.635,0.49
WHITE,1.205,1.199,1.205,1.192,1.21,1.205,1.212,1.149,1.223,1.238
