Racial/Ethnic_Group,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
ASIAN,0.3,0.314,0.313,0.305,0.322,0.339,0.393,0.399,0.388,0.379
BLACK,0.466,0.49,0.477,0.399,0.407,0.418,0.487,0.401,0.372,0.35
HISPANIC,0.909,1.005,0.818,0.682,0.805,0.744,0.984,0.757,0.655,0.643
WHITE,1.06,1.06,1.065,1.073,1.072,1.074,1.066,1.081,1.091,1.1
