Racial/Ethnic_Group,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
ASIAN,0.335,0.338,0.348,0.338,0.339,0.372,0.377,0.405,0.389,0.412
BLACK,0.31,0.325,0.335,0.307,0.325,0.356,0.316,0.293,0.307,0.315
HISPANIC,0.87,0.826,0.823,0.73,0.804,0.803,0.79,0.752,0.715,0.716
WHITE,1.223,1.211,1.216,1.254,1.24,1.242,1.26,1.279,1.308,1.319
