Racial/Ethnic_Group,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
ASIAN,0.259,0.297,0.342,0.37,0.32,0.324,0.391,0.429,0.339,0.348
BLACK,0.401,0.441,0.363,0.343,0.308,0.412,0.319,0.298,0.312,0.381
HISPANIC,0.587,0.711,0.704,0.732,0.654,0.642,0.656,0.606,0.738,0.648
WHITE,1.193,1.173,1.185,1.185,1.214,1.21,1.228,1.233,1.26,1.272
