,ASIAN,BLACK,HISPANIC,WHITE
2009,0.259,0.401,0.587,1.193
2010,0.297,0.441,0.711,1.173
2011,0.342,0.363,0.704,1.185
2012,0.37,0.343,0.732,1.185
2013,0.32,0.308,0.654,1.214
2014,0.324,0.412,0.642,1.21
2015,0.391,0.319,0.656,1.228
2016,0.429,0.298,0.606,1.233
2017,0.339,0.312,0.738,1.26
2018,0.348,0.381,0.648,1.272
