Racial/Ethnic_Group,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
ASIAN,0.265,0.337,0.336,0.243,0.265,0.278,0.271,0.292,0.234,0.253
BLACK,0.309,0.328,0.389,0.369,0.367,0.433,0.445,0.519,0.356,0.353
HISPANIC,1.096,1.561,0.812,0.933,0.881,0.763,0.639,0.621,0.689,0.811
WHITE,1.091,1.076,1.098,1.105,1.107,1.103,1.115,1.111,1.132,1.145
