Racial/Ethnic_Group,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
ASIAN,0.457,0.493,0.464,0.491,0.49,0.5,0.494,0.554,0.554,0.579
BLACK,0.511,0.612,0.463,0.496,0.434,0.449,0.43,0.444,0.465,0.508
HISPANIC,0.544,0.609,0.526,0.551,0.54,0.535,0.565,0.61,0.548,0.567
WHITE,1.368,1.345,1.398,1.392,1.415,1.429,1.448,1.407,1.441,1.444
