Racial/Ethnic_Group,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
ASIAN,0.317,0.293,0.297,0.332,0.326,0.292,0.308,0.443,0.312,0.505
BLACK,0.313,0.322,0.39,0.309,0.271,0.319,0.323,0.373,0.368,0.307
HISPANIC,0.537,0.557,0.556,0.546,0.568,0.564,0.533,0.953,0.549,0.547
WHITE,1.294,1.303,1.306,1.321,1.347,1.475,1.508,1.387,1.643,1.374
