Racial/Ethnic_Group,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
ASIAN,0.523,0.484,0.489,0.379,0.449,0.416,0.438,0.488,0.476,0.651
BLACK,0.318,0.335,0.327,0.387,0.378,0.388,0.319,0.333,0.352,0.331
HISPANIC,0.956,0.918,1.12,0.947,0.966,0.952,0.967,0.687,0.698,0.631
WHITE,1.129,1.126,1.118,1.126,1.123,1.13,1.161,1.151,1.159,1.176
