Racial/Ethnic_Group,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
ASIAN,0.354,0.385,0.35,0.344,0.612,0.491,0.606,0.737,0.457,0.401
BLACK,0.371,0.352,0.38,0.232,0.502,0.601,1.91,0.884,0.558,0.504
HISPANIC,0.955,1.107,1.01,1.198,0.675,0.705,1.738,1.336,1.317,0.777
WHITE,1.011,1.01,1.015,1.015,1.019,1.02,0.954,1.003,1.009,1.018
