Racial/Ethnic_Group,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
ASIAN,0.364,0.411,0.44,0.368,0.327,0.417,0.466,0.371,0.413,0.425
BLACK,0.532,0.447,0.437,0.483,0.452,0.439,0.236,0.351,0.473,0.327
HISPANIC,0.672,0.612,0.55,0.561,0.499,0.453,0.453,0.51,0.576,0.709
WHITE,1.091,1.085,1.09,1.097,1.114,1.117,1.117,1.122,1.115,1.119
