,ASIAN,BLACK,HISPANIC,WHITE
2009,0.364,0.532,0.672,1.091
2010,0.411,0.447,0.612,1.085
2011,0.44,0.437,0.55,1.09
2012,0.368,0.483,0.561,1.097
2013,0.327,0.452,0.499,1.114
2014,0.417,0.439,0.453,1.117
2015,0.466,0.236,0.453,1.117
2016,0.371,0.351,0.51,1.122
2017,0.413,0.473,0.576,1.115
2018,0.425,0.327,0.709,1.119
