Racial/Ethnic_Group,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
ASIAN,0.322,0.32,0.301,0.348,0.368,0.372,0.346,0.456,0.417,0.379
BLACK,0.343,0.339,0.351,0.38,0.377,0.385,0.447,0.409,0.404,0.495
HISPANIC,0.844,0.894,0.988,0.808,0.827,0.773,0.677,0.75,0.871,0.779
WHITE,1.151,1.147,1.155,1.152,1.161,1.168,1.162,1.171,1.175,1.177
