Racial/Ethnic_Group,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
ASIAN,0.411,0.411,0.416,0.406,0.444,0.451,0.424,0.457,0.461,0.482
BLACK,0.488,0.53,0.483,0.488,0.497,0.52,0.497,0.534,0.536,0.568
HISPANIC,0.694,0.761,0.742,0.668,0.683,0.674,1.042,0.732,0.64,0.64
WHITE,1.425,1.422,1.441,1.47,1.454,1.466,1.422,1.479,1.522,1.529
