,ASIAN,BLACK,HISPANIC,WHITE
2009,0.411,0.488,0.694,1.425
2010,0.411,0.53,0.761,1.422
2011,0.416,0.483,0.742,1.441
2012,0.406,0.488,0.668,1.47
2013,0.444,0.497,0.683,1.454
2014,0.451,0.52,0.674,1.466
2015,0.424,0.497,1.042,1.422
2016,0.457,0.534,0.732,1.479
2017,0.461,0.536,0.64,1.522
2018,0.482,0.568,0.64,1.529
