Racial/Ethnic_Group,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
ASIAN,0.283,0.362,0.3,0.266,0.283,0.323,0.34,0.355,0.339,0.354
BLACK,0.408,0.421,0.413,0.388,0.363,0.352,0.401,0.474,0.418,0.428
HISPANIC,1.577,1.056,0.83,0.642,0.722,0.637,0.68,0.695,0.669,0.686
WHITE,1.068,1.075,1.084,1.095,1.098,1.103,1.098,1.091,1.114,1.107
