,ASIAN,BLACK,HISPANIC,WHITE
2009,0.283,0.408,1.577,1.068
2010,0.362,0.421,1.056,1.075
2011,0.3,0.413,0.83,1.084
2012,0.266,0.388,0.642,1.095
2013,0.283,0.363,0.722,1.098
2014,0.323,0.352,0.637,1.103
2015,0.34,0.401,0.68,1.098
2016,0.355,0.474,0.695,1.091
2017,0.339,0.418,0.669,1.114
2018,0.354,0.428,0.686,1.107
